title,platform,fix_date,developer,genre,user_score,category
"ESPN NHL 2K5",XBOX,30-08-2004,"Kush Games","Sports, Traditional, Ice Hockey, Sim",8,Good
"ESPN NHL Hockey",PS2,09-09-2003,"Kush Games","Sports, Traditional, Ice Hockey, Sim",7,Good
"ESPN NHL Hockey",XBOX,09-09-2003,"Kush Games","Sports, Traditional, Ice Hockey, Sim",7.5,Good
"Etrian Odyssey Origins Collection",Switch,01-06-2023,Atlus,"Miscellaneous, Compilation",7.3,Good
"Feel the Magic: XY/XX",DS,16-11-2004,"Sonic Team","Miscellaneous, Puzzle, Puzzle, General, Puzzle, Party / Minigame, General",7.5,Good
"Fighting Vipers",PS3,27-11-2012,"Sega AM2","Action, Fighting, Fighting, 3D, 3D",7.1,Good
"Fighting Vipers",X360,28-11-2012,"Sega AM2","Action, Fighting, Fighting, 3D, 3D",7.8,Good
"Fist of the North Star: Lost Paradise",PS4,02-10-2018,"Ryu ga Gotoku Studios","Action, Role-Playing, General, Action RPG",7.7,Good
"Floigan Bros. Episode 1",DC,30-07-2001,"Visual Concepts","Action, General",7.2,Good
"Football Manager 2012",PC,20-10-2011,"Sports Interactive","Sports, Traditional, Team, Football, Soccer, Management, Management",8,Good
"Football Manager 2013",PC,01-11-2012,"Sports Interactive","Sports, Traditional, Team, Soccer, Management, Management",6.9,Good
"Football Manager 2015",PC,07-11-2014,"Sports Interactive","Sports, Traditional, Team, Soccer, Management",6.2,Good
"Football Manager 2016",PC,13-11-2015,Sega,"Sports, Team, Soccer, Management",7.1,Good
"Football Manager 2018",PC,10-11-2017,"Sports Interactive","Sports, Team, Football, Sim",6.1,Good
"Football Manager 2019",PC,02-11-2018,"Sports Interactive","Sports, Team, Soccer, Management",7.1,Good
"Football Manager 2019 Touch",Switch,06-12-2018,Sega,"Sports, Team, Soccer, Management",7.2,Good
"Football Manager 2020",PC,18-11-2019,"Sports Interactive","Sports, Team, Soccer, Management",6.2,Good
"Football Manager 2021",PC,24-11-2020,"Sports Interactive","Sports, Team, Soccer, Management",6.5,Good
"Football Manager 2021",XONE,30-11-2020,"Sports Interactive","Sports, Team, Soccer, Management",7.3,Good
"Football Manager 2022",PC,09-11-2021,"Sports Interactive","Sports, Team, Soccer, Management",7.3,Good
"Football Manager 2023",PC,08-11-2022,"Sports Interactive","Sports, Team, Soccer, Management",6.5,Good
"Football Manager Classic 2014",VITA,11-04-2014,"Sports Interactive","Sports, Traditional, Soccer, Management",7.3,Good
"Football Manager Handheld 2010",PSP,22-12-2009,"Sports Interactive","Sports, Traditional, Team, Soccer, Management, Management",6.4,Good
"Football Manager Handheld 2011",PSP,06-12-2010,"Sports Interactive","Sports, Traditional, Team, Soccer, Management, Management",6.7,Good
"Football Manager Handheld 2013",iOS,13-12-2012,"Sports Interactive","Sports, Traditional, Team, Soccer, Management, Management",6.4,Good
"Football Manager Handheld 2015",iOS,19-11-2014,Sega,"Action, Sports, General, Team, Soccer, Management",6.8,Good
"Football Manager Touch 2018",Switch,13-04-2018,"Sports Interactive","Sports, Team, Soccer, Management",6.8,Good
"Full Auto",X360,14-02-2006,"Pseudo Interactive","Simulation, Driving, Car Combat, Car Combat, Vehicle, Combat",7.7,Good
"Full Auto 2: Battlelines",PS3,07-12-2006,"Pseudo Interactive","Simulation, Driving, Car Combat, Car Combat, Vehicle, Combat",7.8,Good
"Full Auto 2: Battlelines",PSP,20-03-2007,"Deep Fried Entertainment","Simulation, Driving, Car Combat, Car Combat, Vehicle, Combat",6.6,Good
"Gain Ground",WII,05-02-2007,Sega,"Action, General",6.8,Good
"Ghost Squad",WII,20-11-2007,"Artificial Mind and Movement,  Polygon Magic","Action, Shooter, Shooter, Light Gun, Light Gun",7.7,Good
"Golden Axe",PS3,12-07-2011,"Backbone Entertainment","Action, "Beat-Em-Up""",6.1,Good
"Gunblade NY & L.A. Machineguns Arcade Hits Pack",WII,30-08-2010,Sega,"Action, Miscellaneous, Shooter, Compilation, Light Gun",8,Good
Gungrave,PS2,16-09-2002,"Seta Corporation","Action, Shooter, Third-Person, Fantasy",8,Good
"Gunstar Heroes",PC,26-01-2011,"Backbone Entertainment","Action, Shooter, Platformer, Shooter, Scrolling, 2D, Scrolling, "Shoot-Em-Up""",7.5,Good
"Gunstar Heroes",PS3,11-06-2009,"Backbone Entertainment","Action, Shooter, Platformer, Shooter, Scrolling, 2D, Scrolling, "Shoot-Em-Up""",7.8,Good
"Gunstar Heroes",X360,10-06-2009,"Backbone Entertainment","Action, Shooter, Platformer, Shooter, Scrolling, 2D, Scrolling, "Shoot-Em-Up""",7.9,Good
"Gunstar Super Heroes",GBA,25-10-2005,Treasure,"Action, Shooter, Scrolling",8,Good
Gunvalkyrie,XBOX,18-03-2002,Smilebit,"Action, Shooter, Third-Person, Sci-Fi",6.5,Good
"Hatsune Miku VR: Future Live",PS4,13-10-2016,"SegaSoft,  Sega","Action, Rhythm, Music",7.1,Good
"Hatsune Miku: COLORFUL STAGE!",iOS,07-12-2021,"Craft Egg Inc.","Action, Rhythm, Music",7.8,Good
