title,platform,fix_date,developer,genre,user_score,category
"Two Point Hospital",XONE,25-02-2020,"Two Point Studios","Simulation, Strategy, Management, Virtual, Career, Business / Tycoon",6.7,Good
"Valkyria Chronicles 4",XONE,25-09-2018,Sega,"Strategy, Turn-Based, Tactics",7.3,Good
"Vancouver 2010 - The Official Video Game of the Olympic Winter Games",X360,12-01-2010,"Eurocom Entertainment Software,  Eurocom","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",6.7,Good
"Viking: Battle for Asgard",PS3,25-03-2008,"Creative Assembly","Action, Action Adventure, General, General, Fantasy",7.1,Good
"Virtua Fighter 2",PC,30-09-1997,"Sega AM2","Action, Fighting, Fighting, 3D, 3D",7.5,Good
"Virtua Fighter 2",PS3,27-11-2012,"Sega AM2","Action, Fighting, Fighting, 3D, 3D",6.8,Good
"Virtua Fighter 2",X360,28-11-2012,"Sega AM2","Action, Fighting, Fighting, 3D, 3D",6.6,Good
"Virtua Fighter 4",PS2,17-03-2002,"Sega AM2","Action, Fighting, 3D",8,Good
"Virtua Fighter 5",PS3,20-02-2007,"Sega AM2","Action, Fighting, Fighting, 3D, 3D",7.3,Good
"Virtua Fighter 5 Final Showdown",PS3,05-06-2012,"Sega AM2","Action, Fighting, Fighting, 3D, 3D",6.2,Good
"Virtua Fighter 5 Final Showdown",X360,06-06-2012,"Sega AM2","Action, Fighting, Fighting, 3D, 3D",7.9,Good
"Virtua Fighter 5 Online",X360,30-10-2007,"Sega AM2","Action, Fighting, Fighting, 3D, 3D",7.8,Good
"Virtua Fighter 5 Ultimate Showdown",PS4,01-06-2021,"Sega,  Ryu ga Gotoku Studios","Action, Fighting, 3D",6.6,Good
"Virtua Quest",PS2,18-01-2005,"Artificial Mind and Movement","Role-Playing, Action RPG",7.6,Good
"Virtua Squad",PC,31-10-1996,Sega,"Action, Shooter, Shooter, Light Gun, Light Gun",8,Good
"Virtua Striker 2002",GC,20-05-2002,"Amusement Vision","Sports, Traditional, Soccer, Sim",6.6,Good
"Virtua Tennis 2009",PC,09-06-2009,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",6.3,Good
"Virtua Tennis 2009",PS3,09-06-2009,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",6.6,Good
"Virtua Tennis 2009",WII,09-06-2009,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",7.3,Good
"Virtua Tennis 2009",X360,09-06-2009,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",6.3,Good
"Virtua Tennis 3",PC,20-03-2007,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",7.5,Good
"Virtua Tennis 3",PS3,20-03-2007,"Sega AM3","Sports, Traditional, Individual, Tennis, Tennis",7.9,Good
"Virtua Tennis 3",PSP,26-03-2007,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",7.8,Good
"Virtua Tennis 3",X360,20-03-2007,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",7.1,Good
"Virtua Tennis 4",PC,24-06-2011,Sega,"Sports, Traditional, Individual, Tennis, Tennis",7.2,Good
"Virtua Tennis 4",PS3,10-05-2011,Sega,"Sports, Traditional, Individual, Tennis, Tennis",6.6,Good
"Virtua Tennis 4",WII,10-05-2011,Sega,"Sports, Traditional, Individual, Tennis, Tennis",7.5,Good
"Virtua Tennis 4",X360,10-05-2011,Sega,"Sports, Traditional, Individual, Tennis, Tennis",6.5,Good
"Virtua Tennis 4: World Tour Edition",VITA,15-02-2012,Sega,"Sports, Traditional, Individual, Tennis, Tennis",7.9,Good
"Virtua Tennis Challenge",iOS,24-05-2012,Sega,"Sports, Traditional, Individual, Tennis, Tennis",7.7,Good
"World Series Baseball",XBOX,19-05-2002,Blueshift,"Sports, Traditional, Baseball, Sim",7.3,Good
"World Series Baseball 2K1",DC,17-07-2000,"Wow Entertainment","Sports, Traditional, Baseball, Sim",7.2,Good
"World Series Baseball 2K3",XBOX,10-03-2003,"Blue Shift","Sports, Traditional, Baseball, Sim",7.3,Good
"Worldwide Soccer Manager 2008",PC,23-10-2007,"Sports Interactive","Sports, Traditional, Team, Soccer, Management, Management",7.3,Good
"Worldwide Soccer Manager 2009",PC,18-11-2008,"Sports Interactive","Sports, Traditional, Team, Soccer, Management, Management",7.4,Good
"Worms Forts: Under Siege",PC,24-11-2004,Team17,"Strategy, Turn-Based, Fantasy, Fantasy, Artillery",7.4,Good
"Worms Forts: Under Siege",PS2,15-03-2005,Team17,"Strategy, Turn-Based, Fantasy",7.9,Good
"Worms Forts: Under Siege",XBOX,15-03-2005,Team17,"Strategy, Turn-Based, Fantasy",7.8,Good
"Yakuza 3",PS3,09-03-2010,"Ryu ga Gotoku Studios","Action Adventure, Modern, Modern, Open-World",8,Good
"Yakuza 3 Remastered",PC,28-01-2021,"Ryu ga Gotoku Studios","Action Adventure, Open-World",6.7,Good
"Yakuza 3 Remastered",PS4,11-02-2020,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.4,Good
"Yakuza 3 Remastered",XONE,28-01-2021,"Ryu ga Gotoku Studios","Action Adventure, Open-World",6.7,Good
"Yakuza 4 Remastered",PC,28-01-2021,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.1,Good
"Yakuza 4 Remastered",PS4,29-10-2019,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.5,Good
"Yakuza 4 Remastered",XONE,28-01-2021,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.5,Good
"Yakuza 5 Remastered",PC,28-01-2021,"Ryu ga Gotoku Studios","Action Adventure, Open-World",6.8,Good
"Yakuza 5 Remastered",PS4,11-02-2020,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.9,Good
"Yakuza 5 Remastered",XONE,28-01-2021,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.8,Good
"Yakuza 6: The Song of Life",PC,25-03-2021,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.7,Good
"Yakuza 6: The Song of Life",XONE,25-03-2021,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.3,Good
"Yakuza Kiwami",PC,19-02-2019,"Ryu ga Gotoku Studios,  Lab42","Action Adventure, Open-World",7.9,Good
"Yakuza Kiwami",PS4,29-08-2017,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.9,Good
"Yakuza Kiwami",XONE,22-04-2020,"Ryu ga Gotoku Studios","Action Adventure, Open-World",8,Good
"Yakuza: Dead Souls",PS3,13-03-2012,"Ryu ga Gotoku Studios","Action Adventure, Modern, General, Modern",7.5,Good
"Yakuza: Like a Dragon",PC,10-11-2020,"Ryu ga Gotoku Studios","Role-Playing, Japanese-Style",7.9,Good
-KingdomConquest-,iOS,14-08-2010,Sega,"Role-Playing, General, General",4.6,"Not Bad"
"10 Minute Tower",PC,26-07-2016,Team17,"Puzzle, Action",5,"Not Bad"
"3D Altered Beast",3DS,05-12-2013,M2,"Action, "Beat-Em-Up""",4.6,"Not Bad"
"3D Ecco the Dolphin",3DS,12-12-2013,M2,"Action, Platformer, Platformer, 2D, 2D",4.6,"Not Bad"
"A Total War Saga: TROY - Ajax & Diomedes Faction Pack",PC,28-01-2021,"Creative Assembly","Strategy, Real-Time, General",4.6,"Not Bad"
"A Total War Saga: TROY - Mythos",PC,02-09-2021,"Creative Assembly","Strategy, Real-Time, General",4.6,"Not Bad"
"A Total War Saga: TROY - Rhesus & Memnon",PC,14-12-2021,"Creative Assembly","Strategy, Real-Time, General",4.6,"Not Bad"
"Alex Kidd in Shinobi World",WII,01-02-2010,Sega,"Action, Platformer, 2D",4.6,"Not Bad"
"Alex Kidd in the Enchanted Castle",WII,11-04-2007,Sega,"Action, Platformer, 2D",4.6,"Not Bad"
"Alex Kidd: The Lost Stars",WII,09-03-2009,Sega,"Action, Platformer, 2D",4.6,"Not Bad"
"Alexandria Bloodshow",iOS,07-06-2012,Sega,"Miscellaneous, Board Games",4.6,"Not Bad"
"Alien Storm",PC,26-10-2010,Sega,"Action, "Beat-Em-Up""",4.6,"Not Bad"
"Alien Storm",WII,17-12-2007,Sega,"Action, "Beat-Em-Up"""",4.6,"Not Bad"
"Alien: Isolation - Corporate Lockdown",PC,28-10-2014,"Creative Assembly","Action Adventure, Sci-Fi, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Corporate Lockdown",PS3,28-10-2014,"Creative Assembly","Action Adventure, Sci-Fi, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Corporate Lockdown",PS4,28-10-2014,"Creative Assembly","Action Adventure, Sci-Fi, General, Survival",5.8,"Not Bad"
"Alien: Isolation - Corporate Lockdown",X360,30-10-2014,"Creative Assembly","Action Adventure, Sci-Fi, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Corporate Lockdown",XONE,28-10-2014,"Creative Assembly","Action Adventure, Sci-Fi, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Crew Expendable",PC,06-10-2014,"Creative Assembly","Action Adventure, General, Survival",4.3,"Not Bad"
"Alien: Isolation - Crew Expendable",PS3,07-10-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Crew Expendable",PS4,07-10-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Crew Expendable",X360,07-10-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Crew Expendable",XONE,07-10-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Last Survivor",PC,14-10-2014,"Creative Assembly","Action Adventure, General, Survival",4.5,"Not Bad"
"Alien: Isolation - Last Survivor",PS3,14-10-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Last Survivor",PS4,14-10-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Last Survivor",X360,14-10-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Last Survivor",XONE,07-10-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Lost Contact",PC,10-02-2015,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Lost Contact",PS3,10-02-2015,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Lost Contact",PS4,10-02-2015,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Lost Contact",X360,10-02-2015,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Lost Contact",XONE,10-02-2015,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Safe Haven",PC,13-01-2015,"Creative Assembly","Action Adventure, Sci-Fi, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Safe Haven",PS3,13-01-2015,"Creative Assembly","Action Adventure, Sci-Fi, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Safe Haven",X360,13-01-2015,"Creative Assembly","Action Adventure, Sci-Fi, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Safe Haven",XONE,13-01-2015,"Creative Assembly","Action Adventure, Sci-Fi, General, Survival",4.6,"Not Bad"
"Alien: Isolation - The Trigger",PC,03-03-2015,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - The Trigger",PS3,03-03-2015,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - The Trigger",PS4,03-03-2015,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - The Trigger",X360,03-03-2015,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - The Trigger",XONE,03-03-2015,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Trauma",PC,02-12-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Trauma",PS3,02-12-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Trauma",PS4,02-12-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Trauma",X360,02-12-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Alien: Isolation - Trauma",XONE,02-12-2014,"Creative Assembly","Action Adventure, General, Survival",4.6,"Not Bad"
"Aliens: Colonial Marines - Bug Hunt",PC,19-03-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4.6,"Not Bad"
"Aliens: Colonial Marines - Bug Hunt",PS3,19-03-2013,"Gearbox Software","Action, Shooter, First-Person, Sci-Fi, Arcade",4.6,"Not Bad"
"Aliens: Colonial Marines - Bug Hunt",X360,19-03-2013,"Gearbox Software","Action, Shooter, First-Person, Sci-Fi, Arcade",4.6,"Not Bad"
"Aliens: Colonial Marines - Movie Map Pack",PC,11-06-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4.6,"Not Bad"
"Aliens: Colonial Marines - Movie Map Pack",PS3,11-06-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4.6,"Not Bad"
"Aliens: Colonial Marines - Movie Map Pack",X360,11-06-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4.6,"Not Bad"
"Aliens: Colonial Marines - Reconnaissance Pack",PC,07-05-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4.6,"Not Bad"
"Aliens: Colonial Marines - Reconnaissance Pack",PS3,07-05-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4.6,"Not Bad"
"Aliens: Colonial Marines - Reconnaissance Pack",X360,07-05-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4.6,"Not Bad"
"Aliens: Colonial Marines - Stasis Interrupted",PC,23-07-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",5.5,"Not Bad"
"Aliens: Colonial Marines - Stasis Interrupted",PS3,23-07-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4.6,"Not Bad"
"Aliens: Colonial Marines - Stasis Interrupted",X360,23-07-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4.6,"Not Bad"
"Altered Beast",Arcade),28-09-2009,Sega,"Action, "Beat-Em-Up"""",4.6,"Not Bad"
"Altered Beast",Genesis),19-11-2006,Sega,"Action, "Beat-Em-Up"""",4.6,"Not Bad"
"Altered Beast",iOS,16-12-2010,Sega,"Action, General, "Beat-Em-Up""",4.6,"Not Bad"
"Altered Beast",PS3,20-09-2011,"Backbone Entertainment","Action, "Beat-Em-Up""",4.6,"Not Bad"
Anthelion,PC,26-07-2016,Rovio,"Action, Arcade",4.6,"Not Bad"
"Armor of Heroes",PC,15-10-2020,"The Eccentric Ape","Action, General, Shooter, "Shoot-Em-Up""",4.6,"Not Bad"
Bayonetta,XONE,18-02-2020,Sega,"Action Adventure, Linear",5.1,"Not Bad"
"Beijing 2008 - The Official Video Game of the Olympic Games",PS3,08-07-2008,"Eurocom Entertainment Software,  Eurocom","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",5.7,"Not Bad"
"Beijing 2008: The Official Video Game of the Olympic Games",PC,04-08-2008,"Eurocom Entertainment Software,  Eurocom","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",4.1,"Not Bad"
"Beyond Oasis",iOS,11-10-2017,Sega,"Role-Playing, Action RPG",4.6,"Not Bad"
"Beyond Oasis",PC,02-05-2012,Sega,"Role-Playing, Action RPG, Action RPG",4.6,"Not Bad"
"Beyond Oasis",WII,19-03-2007,Ancient,"Role-Playing, Action RPG",4.6,"Not Bad"
"Bio-Hazard Battle",PC,26-10-2010,Sega,"Action, Shooter, Shooter, Scrolling, Scrolling, "Shoot-Em-Up""",4.6,"Not Bad"
"Bio-Hazard Battle",WII,26-02-2007,Sega,"Action, Shooter, Scrolling",4.6,"Not Bad"
BlockAid,PC,26-07-2016,"SEGA Hardlight","Puzzle, Action",4.6,"Not Bad"
"Bonanza Bros",WII,29-01-2007,Sega,"Action, General",4.6,"Not Bad"
"Bonanza Bros.",PC,13-09-2010,Sega,"Action, General, General, Platformer, 2D",4.6,"Not Bad"
"Brain Assist",DS,26-02-2008,"Sega,  Japan Art Media (JAM)","Miscellaneous, Board Games, Edutainment, Board Games, Board / Card Game",4.6,"Not Bad"
"Brick People",iOS,30-09-2011,Sega,"Miscellaneous, Edutainment, Edutainment",4.6,"Not Bad"
"Brick People HD",iOS,30-09-2011,Sega,"Miscellaneous, Edutainment",4.6,"Not Bad"
"Brick People+",iOS,28-03-2012,Sega,"Miscellaneous, Edutainment",4.6,"Not Bad"
"Bug Too!",PC,10-12-1996,"Realtime Associates","Action, Platformer, Platformer, 2D, 2D",4.6,"Not Bad"
"Captain Curve's Intergalactic Space Adventure",PC,26-07-2016,"Curve Digital","Miscellaneous, Party / Minigame",4.6,"Not Bad"
"Charlotte's Web",DS,14-11-2006,"Backbone Entertainment","Action, General, General, Platformer, 2D",4.6,"Not Bad"
"Charlotte's Web",GBA,14-11-2006,"Backbone Emeryville","Action, General",4.6,"Not Bad"
"Charlotte's Web: Wilbur and Friends",PC,17-11-2006,Sega,"Action, Miscellaneous, General, General, Edutainment",4.8,"Not Bad"
"ChuChu Rocket!",iOS,19-10-2010,Sega,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, General",4.6,"Not Bad"
"ChuChu Rocket! HD",iOS,28-10-2010,Sega,"Puzzle, Miscellaneous, Puzzle, General",4.6,"Not Bad"
"ChuChu Rocket! Universe",iOS,19-09-2019,Sega,"Puzzle, Action",4.6,"Not Bad"
"Citizens of Space",Switch,18-06-2019,"Sega,  Eden Industries","Role-Playing, Japanese-Style",4.6,"Not Bad"
"Citizens of Space",XONE,18-06-2019,"Sega,  Eden Industries","Role-Playing, Japanese-Style",4.6,"Not Bad"
Columns,PC,13-09-2010,Sega,"Miscellaneous, Puzzle, Puzzle, Puzzle, Matching, Matching",4.6,"Not Bad"
Columns,WII,04-12-2006,Sega,"Miscellaneous, Puzzle, Puzzle, Matching",4.6,"Not Bad"
"Columns III",PC,26-10-2010,Sega,"Miscellaneous, Puzzle, Puzzle, Puzzle, Matching, Matching",4.6,"Not Bad"
"Columns III: Revenge of Columns",WII,04-02-2008,"Vic Tokai","Miscellaneous, Puzzle, Puzzle, Matching",4.6,"Not Bad"
"Comix Zone",iOS,21-06-2017,Sega,"Action, Platformer, "Beat-Em-Up""",4.6,"Not Bad"
"Comix Zone",WII,29-01-2007,Sega,"Action, "Beat-Em-Up"""",4.6,"Not Bad"
"Company of Heroes 2 - Victory at Stalingrad",PC,12-11-2013,"Relic,  Relic Entertainment","Strategy, Real-Time, Historic, General, Historic",6,"Not Bad"
"Company of Heroes 3",PC,23-02-2023,"Relic Entertainment","Strategy, Real-Time, General",4.6,"Not Bad"
"Cranky Food Friends",iOS,28-08-2015,Sega,"Puzzle, Matching",4.6,"Not Bad"
"Crazy Taxi Gazillionaire",iOS,31-05-2017,Sega,"Strategy, Racing, General, Arcade, Automobile",4.6,"Not Bad"
"Cyber Troopers Virtual-On",PC,30-09-1997,Sega,"Action, Fighting, Fighting, 3D, 3D",4.6,"Not Bad"
"Daisy Fuentes Pilates",WII,04-08-2009,"Collision Studios","Miscellaneous, General, General, Exercise / Fitness",5.5,"Not Bad"
DecapAttack,PC,26-10-2010,Sega,"Action, Platformer, Platformer, 2D, 2D",4.6,"Not Bad"
"DecapAttack Classic",iOS,25-10-2017,Sega,"Action, Platformer, 2D",4.6,"Not Bad"
"Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles - Tengen Uzui Character Pack",Switch,13-07-2022,Sega,"Action, Fighting, 3D",4.6,"Not Bad"
"Demon Tribe",iOS,21-11-2013,Sega,"Action, Strategy, General, Real-Time, General, MOBA",4.6,"Not Bad"
"Dinosaur King D-Team Adventures A Dinosaur Pict...",iOS,25-03-2011,Sega,"Miscellaneous, Edutainment",4.6,"Not Bad"
"Double Rivals Attack Pack!",PSP,18-10-2011,"Backbone Entertainment","Action, Miscellaneous, General, Compilation, Compilation",4.6,"Not Bad"
"Double Super Hero Pack!",PSP,18-10-2011,Various,"Action, Miscellaneous, General, Compilation, Compilation",4.6,"Not Bad"
"Dr. Robotnik's Mean Bean Machine",WII,11-12-2006,Sega,"Miscellaneous, Puzzle, Puzzle, Matching",4.6,"Not Bad"
"Dreamcast Collection",X360,22-02-2011,Sega,"Miscellaneous, Compilation, Compilation",5.4,"Not Bad"
"Dynamite Headdy",PC,02-05-2012,Sega,"Action, Platformer, Platformer, 2D, 2D",4.6,"Not Bad"
"Dynamite Headdy Classic",iOS,18-04-2018,Sega,"Action, Platformer, 2D",4.6,"Not Bad"
"Ecco Jr.",PC,13-09-2010,Sega,"Action, General, Platformer, Platformer, 2D, 2D",4.6,"Not Bad"
"Ecco Jr.",WII,26-11-2007,Novotrade,"Miscellaneous, Edutainment",4.6,"Not Bad"
"Ecco the Dolphin",iOS,22-07-2010,Sega,"Action, General, Platformer, 2D",4.6,"Not Bad"
"Ecco the Dolphin",WII,28-11-2006,Novotrade,"Action, General",4.6,"Not Bad"
"Ecco: The Tides of Time",PC,26-10-2010,Sega,"Action, General, Platformer, Platformer, 2D, 2D",4.6,"Not Bad"
"Ecco: The Tides of Time",WII,02-07-2007,Sega,"Action, General",4.6,"Not Bad"
"Emily: Displaced",PC,26-07-2016,"Bossa Studios","Adventure, Text, Visual Novel",4.6,"Not Bad"
"Empire: Total War - The Warpath Campaign",PC,05-10-2009,"Creative Assembly","Strategy, Real-Time, Historic, General, Historic",5.5,"Not Bad"
"Empire: Total War / Napoleon: Total War: Gold Edition",PC,19-10-2010,"Creative Assembly","Miscellaneous, Compilation, Compilation",4.6,"Not Bad"
"Endless Dungeon",PC,17-10-2023,"Amplitude Studios","Strategy, Real-Time, Tactics",4.6,"Not Bad"
"Endless Dungeon",PS4,17-10-2023,"Amplitude Studios","Strategy, Real-Time, Tactics",4.6,"Not Bad"
"Endless Dungeon",XONE,17-10-2023,"Amplitude Studios","Strategy, Real-Time, Tactics",4.6,"Not Bad"
"Endless Legend - Inferno",PC,02-08-2018,"Amplitude Studios","Strategy, Turn-Based, 4X",4.6,"Not Bad"
"Endless Space 2: Harmonic Memories",PC,15-11-2018,"Amplitude Studios","Strategy, Turn-Based, 4X",4.6,"Not Bad"
"Enduro Racer",WII,15-12-2008,Sega,"Driving, Racing, Motorcycle, Motocross",4.6,"Not Bad"
"ESWAT: City Under Siege",iOS,08-11-2017,Sega,"Action, Platformer, 2D",4.6,"Not Bad"
"ESWAT: City Under Siege",PC,26-10-2010,Sega,"Action, Platformer, Platformer, 2D, 2D",4.6,"Not Bad"
"Eternal Champions",PC,13-09-2010,Sega,"Action, Fighting, Fighting, 2D, 2D",4.6,"Not Bad"
"Eternal Champions",WII,03-12-2007,Sega,"Action, Fighting, 2D",4.6,"Not Bad"
"Etrian Odyssey HD",PC,31-05-2023,Atlus,"Role-Playing, Japanese-Style, Western-Style",4.6,"Not Bad"
"Etrian Odyssey HD",Switch,15-06-2023,Mutan,"Role-Playing, Japanese-Style, Western-Style",4.6,"Not Bad"
"Etrian Odyssey II HD",PC,31-05-2023,Atlus,"Role-Playing, Japanese-Style, Western-Style",4.6,"Not Bad"
"Etrian Odyssey II HD",Switch,15-06-2023,Mutan,"Role-Playing, Japanese-Style, Western-Style",4.6,"Not Bad"
"Etrian Odyssey III HD",PC,31-05-2023,Atlus,"Role-Playing, Japanese-Style, Western-Style",4.6,"Not Bad"
"Etrian Odyssey III HD",Switch,01-06-2023,Mutan,"Role-Playing, Japanese-Style, Western-Style",4.6,"Not Bad"
"Etrian Odyssey Origins Collection",PC,01-06-2023,Atlus,"Miscellaneous, Compilation",4.6,"Not Bad"
"Fantasy Zone",WII,14-04-2008,Sega,"Action, Shooter, Scrolling",4.6,"Not Bad"
"Fantasy Zone II",WII,29-06-2009,Sega,"Action, Shooter, Scrolling",4.6,"Not Bad"
"Fatal Labyrinth",PC,13-09-2010,Sega,"Role-Playing, Console-style RPG, Console-style RPG, Roguelike",4.6,"Not Bad"
"Ferrari F355 Challenge",PS2,28-09-2002,"Sega AM2","Driving, Racing, GT / Street",5.5,"Not Bad"
"Fist of the North Star: Legends ReVIVE",iOS,05-09-2019,Sega,"Role-Playing, General",4.6,"Not Bad"
Flicky,PC,26-10-2010,Sega,"Action, Platformer, Platformer, 2D, 2D",4.6,"Not Bad"
"FMH Manual",iOS,13-04-2010,Sega,"Simulation, General",4.6,"Not Bad"
"Football Manager 2014",PC,30-10-2013,"Sports Interactive","Sports, Traditional, Team, Soccer, Management, Management",5.7,"Not Bad"
"Football Manager 2017",PC,04-11-2016,"Sports Interactive","Sports, Team, Soccer, Management",5.5,"Not Bad"
"Football Manager 2019 Mobile",iOS,02-11-2018,Sega,"Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager 2019: The Hashtag United Challenge",PC,21-12-2018,"Sports Interactive","Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager 2020 Mobile",iOS,19-11-2019,Sega,"Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager 2020 Touch",PC,19-11-2019,"Sports Interactive","Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager 2021 Mobile",iOS,23-11-2020,Sega,"Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager 2021 Touch",PC,24-11-2020,"Sports Interactive","Action, Sports, General, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager 2021 Touch",Switch,14-12-2020,"Sports Interactive","Action, Sports, General, Team, Soccer, Management",5.4,"Not Bad"
"Football Manager 2022",XONE,09-11-2021,"Sports Interactive","Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager 2022 Mobile",iOS,09-11-2021,"Sports Interactive","Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager 2022 Touch",Switch,08-11-2021,"Sports Interactive","Sports, Team, Soccer, Management",5.7,"Not Bad"
"Football Manager 2023",iOS,08-11-2022,"Sports Interactive","Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager 2023 Console",XONE,08-11-2022,"Sports Interactive","Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager 2023 Touch",Switch,08-11-2022,"Sports Interactive","Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager Classic 2015",iOS,09-04-2015,Sega,"Action, Sports, General, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager Handheld 2010",iOS,13-04-2010,Sega,"Sports, Simulation, Traditional, General, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager Handheld 2011",iOS,16-12-2010,"Sports Interactive","Sports, Simulation, Traditional, General, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager Handheld 2012: US and Japan",iOS,08-12-2011,Sega,"Sports, Simulation, General, General, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager Mobile 2016",iOS,19-11-2015,Sega,"Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager Mobile 2017",iOS,16-11-2016,Sega,"Sports, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager Mobile 2018",iOS,09-11-2017,Sega,"Action, Sports, General, Team, Soccer, Management",4.6,"Not Bad"
"Football Manager Touch 2016",iOS,25-11-2015,Sega,"Sports, Team, Soccer, Management",4.6,"Not Bad"
